Smiles,Rf,XGB,SVM,Mean
N1=C(CC(C(=O)Nc2cc(c(c(c2)OC)OC)OC)O1)c1ccc(cc1)OC,0.362847772,0.9857464,0.601178997,0.649924384
C(=O)(NCc1ccccc1)C(NC(=O)c1cc(on1)c1cccc(c1)OC)c1ccccc1,0.522585473,0.9820447,0.44502552,0.64988523
n1c(sc2c1cc1sc(nc1c2)c1ccc(NC(=O)C)cc1)c1ccc(NC(=O)C)cc1,0.512158759,0.8410115,0.596310078,0.649826787
C(=O)(NCc1ccc(cc1)OC)c1ccc(NC(=O)CC)cc1,0.425178371,0.9756408,0.545527096,0.64878208
n1nc(c2cc(NC(=O)NCc3cc(OC)ccc3)ccc2)ccc1N1CCOCC1,0.415184537,0.97925824,0.549753701,0.648065492
N1=C(CC(C(=O)Nc2cc(O)ccc2)O1)c1cc(OC)ccc1,0.443240366,0.9797555,0.520962579,0.647986155
c1(nnc(s1)COc1cc(c(cc1)OC)OC)C(=O)Nc1ccc(C(=O)NC(c2ccccc2)C)cc1,0.510663259,0.95591104,0.477298027,0.647957442
N1=C(CC(C(=O)Nc2ccc(cc2)OC)O1)c1cc(c(c(c1)OC)OC)OC,0.381101186,0.97837174,0.584364797,0.647945907
c1(nc2c(s1)cc(NC(=O)C1CCCCC1)cc2)NC(=O)c1ccccc1,0.548750352,0.8684093,0.524458898,0.647206175
n1(c2ncc(C(=O)Nc3ccc(cc3)OC)cc2)cnnc1,0.399169442,0.9863724,0.555325179,0.646955677
c1(nc2c(s1)cc(NC(=O)C(Oc1ccccc1)C)cc2)NC(=O)c1ccccc1,0.553768178,0.9041541,0.479418792,0.645780364
N1=C(CC(C(=O)Nc2ccc(C(=O)C)cc2)O1)c1cc(OC)ccc1,0.400718397,0.9952608,0.541325124,0.645768099
N1=C(CC(C(=O)Nc2cc(C(F)(F)F)ccc2)O1)c1c(F)cccc1,0.44598285,0.9447003,0.544034307,0.644905819
N1=C(CC(C(=O)Nc2cc(C(F)(F)F)ccc2)O1)c1cc(c(c(c1)OC)OC)OC,0.364984717,0.98574466,0.582241091,0.644323488
c1cc(C(=O)N2CCC(CC2)C(C(=O)NCCC)NC(=O)c2ccc(cc2)OC)cc(c1)OC,0.423960651,0.93416286,0.574008642,0.644044049
N(C(=O)Cc1cc(c(cc1)OC)OC)C(c1ccccc1)c1ccccc1,0.416291968,0.9860611,0.528574601,0.643642555
c1(nsc2c1cccc2)C(=O)Nc1cc(C(=O)NCc2cc(OC)ccc2)ccc1,0.451061052,0.9965437,0.483134205,0.643579654
N1=C(CC(C(=O)Nc2cc(c(c(c2)OC)OC)OC)O1)c1cc(OC)ccc1,0.378110622,0.9720038,0.580404725,0.643506388
c1(sc(nn1)C1CC1)C(=O)Nc1cc(C(=O)NCc2ccc(cc2)OCCCC)ccc1,0.467361111,0.8296965,0.630773402,0.64261033
c1(c[nH]c2c1cccc2)CC(C(=O)Nc1ccccc1)NC(=O)Oc1ccccc1,0.463683621,0.98568547,0.478390332,0.642586473
c1(nnc(s1)CC)C(=O)Nc1cc(C(=O)NCc2ccc(cc2)OCCC)ccc1,0.421465278,0.97094256,0.53460776,0.642338532
N1=C(c2c(ccc(c2)OC)OC)CC(C(=O)Nc2ccc(cc2)OC)O1,0.383591415,0.98148924,0.561599804,0.64222682
N1=C(CC(C(=O)Nc2cc3c(OCO3)cc2)O1)c1ccc(cc1)OC,0.420456117,0.99064445,0.513739502,0.641613358
N1=C(c2c(ccc(c2)OC)OC)CC(C(=O)Nc2cc(O)ccc2)O1,0.429030582,0.9816705,0.513161714,0.641287598
c1(c[nH]c2c1cccc2)C(CNC(=O)COc1ccccc1)c1ccccc1,0.480513836,0.9890258,0.450356376,0.639965328
C(C(=O)N)(NC(=O)CNC(=O)OCc1ccccc1)CO,0.464468739,0.6824786,0.766825889,0.637924412
c1(nc2c(s1)cc(NC(=O)CCc1nc3c([nH]1)cccc3)cc2)NC(=O)c1ccccc1,0.548950992,0.85417306,0.509378046,0.637500701
S(=O)(=O)(N(CC(=O)Nc1cc(C(=O)C)ccc1)CC)c1ccc(cc1)OC,0.410308191,0.9810316,0.52059871,0.637312833
c1(nc2c(s1)cc(NC(=O)CCCC)cc2)NC(=O)c1ccccc1,0.536063823,0.8168642,0.558248987,0.637059001
c1(cn(c(=O)cc1)CCN1CCOCC1)C(=O)Nc1cc(Cl)ccc1,0.456000054,0.80831397,0.646730831,0.63701495
c1([nH]c2c(c1)cccc2)C(=O)N1CCC(CC1)CCOCc1cc(F)ccc1,0.457570731,0.82696444,0.624332135,0.636289101
c1(nc2c(s1)cccc2)NC(=O)c1cc2[nH]cnc2cc1,0.544383228,0.74459165,0.619177719,0.636050867
C1CN(CCN1C(=O)c1ccc(cc1)CC)CC(c1cc(ccc1)OC)OCc1ccc(cc1)C(=O)OC,0.390028767,0.93038327,0.586312813,0.635574948
c1(c[nH]c2c1cccc2)C(CNC(=O)c1ccc(cc1)OC)c1ccccc1,0.456031727,0.9920494,0.458262863,0.635447995
C(=O)(N1CCC(C(=O)Nc2cc(F)ccc2)CC1)c1cc(F)ccc1,0.425386429,0.95487225,0.526044585,0.635434422
C(C(=O)N1CCC(CC1)C(C(=O)N(CC)CC)NC(=O)c1ccc(cc1)OC)C,0.392725358,0.9677135,0.545372915,0.635270582
N1=C(c2c(ccc(c2)OC)OC)CC(C(=O)Nc2cc(C(=O)C)ccc2)O1,0.413120999,0.9841027,0.507783309,0.635002345
C(=O)(Nc1c(ccc(c1)C)C)C(NC(=O)OCc1ccccc1)Cc1ccc(OCc2ccccc2)cc1,0.551076402,0.89013886,0.463774711,0.634996659
c1(sc2c(c1Cl)cccc2)C(=O)Nc1nn(cc1)Cc1ccc(F)cc1,0.388669331,0.9639293,0.552136853,0.634911827
C(C(=O)N1CCC(CC1)C(C(=O)N(CC)CC)NC(=O)c1cccc(c1)OC)C,0.426464828,0.97768843,0.5,0.634717753
c1(nnc(s1)COC)C(=O)Nc1cc(C(=O)NCc2cc(OC)ccc2)ccc1,0.426935333,0.99064624,0.486036944,0.634539507
c1(C(=O)N2CCC(CC2)C(C(=O)N(CC)CC)NC(=O)c2cccc(c2)OC)ccc(cc1)OC,0.419542439,0.95921403,0.524727895,0.634494789
N1=C(CC(C(=O)Nc2cc3c(OCO3)cc2)O1)c1cc(OC)ccc1,0.426971728,0.98623604,0.488796193,0.634001319
C(=O)(N1CCN(Cc2cc3c(OCO3)cc2)CC1)c1cc2[nH]ncc2cc1,0.392503991,0.94573843,0.561793391,0.633345272
c1(nnc(s1)CNC(=O)c1cc(F)ccc1)C(=O)Nc1ccc(cc1)OC,0.439466511,0.988356,0.47058368,0.632802062
C(=O)(C(NC(=O)Cc1sccc1)c1ccc(cc1)C)Nc1ccc(cc1)OC,0.515573176,0.9577843,0.423331148,0.63222954
